Hugo_Symbol,n_mutations,n_patients,n_high_impact,hotspot_count,high_impact_ratio,patient_frequency,hotspot_ratio,patient_frequency_norm,high_impact_ratio_norm,hotspot_ratio_norm,gene_priority_score,log_n_mutations,top_k
TP53,112,110,39.0,0.0,0.3482142857142857,0.2657004830917874,0.0,0.8790322580645161,0.3482142857142857,0.0,0.5439804147465438,4.727387818712341,top50
TTN,169,125,10.0,0.0,0.059171597633136,0.3019323671497584,0.0,1.0,0.059171597633136,0.0,0.5177514792899408,5.135798437050262,top50
CTNNB1,97,96,0.0,0.0,0.0,0.2318840579710145,0.0,0.7661290322580647,0.0,0.0,0.3830645161290323,4.584967478670572,top50
ALB,60,52,35.0,0.0,0.5833333333333334,0.1256038647342995,0.0,0.4112903225806453,0.5833333333333334,0.0,0.3806451612903226,4.110873864173311,top50
ARID1A,40,38,28.0,0.0,0.7,0.0917874396135265,0.0,0.2983870967741935,0.7,0.0,0.3591935483870968,3.713572066704308,top50
AXIN1,30,28,25.0,0.0,0.8333333333333334,0.0676328502415458,0.0,0.2177419354838709,0.8333333333333334,0.0,0.3588709677419354,3.4339872044851463,top50
MUC16,98,81,10.0,0.0,0.1020408163265306,0.1956521739130435,0.0,0.645161290322581,0.1020408163265306,0.0,0.3531928900592496,4.59511985013459,top50
UBE2D3,4,4,4.0,0.0,1.0,0.0096618357487922,0.0,0.0241935483870967,1.0,0.0,0.3120967741935483,1.6094379124341005,top50
PHKG2,4,4,4.0,0.0,1.0,0.0096618357487922,0.0,0.0241935483870967,1.0,0.0,0.3120967741935483,1.6094379124341005,top50
GADL1,4,4,4.0,0.0,1.0,0.0096618357487922,0.0,0.0241935483870967,1.0,0.0,0.3120967741935483,1.6094379124341005,top50
RPL22,4,4,4.0,0.0,1.0,0.0096618357487922,0.0,0.0241935483870967,1.0,0.0,0.3120967741935483,1.6094379124341005,top50
IFIT5,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.0161290322580647,1.0,0.0,0.3080645161290323,1.3862943611198906,top50
MAK,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.0161290322580647,1.0,0.0,0.3080645161290323,1.3862943611198906,top50
WDR38,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.0161290322580647,1.0,0.0,0.3080645161290323,1.3862943611198906,top50
IRF7,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.0161290322580647,1.0,0.0,0.3080645161290323,1.3862943611198906,top50
TOB1,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.0161290322580647,1.0,0.0,0.3080645161290323,1.3862943611198906,top50
CCDC138,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.0161290322580647,1.0,0.0,0.3080645161290323,1.3862943611198906,top50
CBR4,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.0161290322580647,1.0,0.0,0.3080645161290323,1.3862943611198906,top50
NRIP1,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.0161290322580647,1.0,0.0,0.3080645161290323,1.3862943611198906,top50
MTMR14,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.0161290322580647,1.0,0.0,0.3080645161290323,1.3862943611198906,top50
USP37,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.0161290322580647,1.0,0.0,0.3080645161290323,1.3862943611198906,top50
GRINA,3,2,3.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.3862943611198906,top50
PAFAH1B1,3,2,3.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.3862943611198906,top50
MLF2,3,2,3.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.3862943611198906,top50
LTBR,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top50
KRT36,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top50
MARK2,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top50
KLF6,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top50
KIAA0513,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top50
MEPE,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top50
MED29,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top50
MEIOC,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top50
IQCB1,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top50
SLC17A7,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top50
SRPX,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top50
IRAK1BP1,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top50
STAT5B,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top50
SHOC2,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top50
SHBG,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top50
MTF2,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top50
STX8,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top50
STXBP2,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top50
IFITM3,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top50
SULT1C4,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top50
HSD3B7,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top50
HSD11B1,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top50
MYOG,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top50
HOXB3,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top50
ZFYVE21,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top50
HMBS,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top50
TP53,112,110,39.0,0.0,0.3482142857142857,0.2657004830917874,0.0,0.8790322580645161,0.3482142857142857,0.0,0.5439804147465438,4.727387818712341,top100
TTN,169,125,10.0,0.0,0.059171597633136,0.3019323671497584,0.0,1.0,0.059171597633136,0.0,0.5177514792899408,5.135798437050262,top100
CTNNB1,97,96,0.0,0.0,0.0,0.2318840579710145,0.0,0.7661290322580647,0.0,0.0,0.3830645161290323,4.584967478670572,top100
ALB,60,52,35.0,0.0,0.5833333333333334,0.1256038647342995,0.0,0.4112903225806453,0.5833333333333334,0.0,0.3806451612903226,4.110873864173311,top100
ARID1A,40,38,28.0,0.0,0.7,0.0917874396135265,0.0,0.2983870967741935,0.7,0.0,0.3591935483870968,3.713572066704308,top100
AXIN1,30,28,25.0,0.0,0.8333333333333334,0.0676328502415458,0.0,0.2177419354838709,0.8333333333333334,0.0,0.3588709677419354,3.4339872044851463,top100
MUC16,98,81,10.0,0.0,0.1020408163265306,0.1956521739130435,0.0,0.645161290322581,0.1020408163265306,0.0,0.3531928900592496,4.59511985013459,top100
UBE2D3,4,4,4.0,0.0,1.0,0.0096618357487922,0.0,0.0241935483870967,1.0,0.0,0.3120967741935483,1.6094379124341005,top100
PHKG2,4,4,4.0,0.0,1.0,0.0096618357487922,0.0,0.0241935483870967,1.0,0.0,0.3120967741935483,1.6094379124341005,top100
GADL1,4,4,4.0,0.0,1.0,0.0096618357487922,0.0,0.0241935483870967,1.0,0.0,0.3120967741935483,1.6094379124341005,top100
RPL22,4,4,4.0,0.0,1.0,0.0096618357487922,0.0,0.0241935483870967,1.0,0.0,0.3120967741935483,1.6094379124341005,top100
IFIT5,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.0161290322580647,1.0,0.0,0.3080645161290323,1.3862943611198906,top100
MAK,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.0161290322580647,1.0,0.0,0.3080645161290323,1.3862943611198906,top100
WDR38,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.0161290322580647,1.0,0.0,0.3080645161290323,1.3862943611198906,top100
IRF7,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.0161290322580647,1.0,0.0,0.3080645161290323,1.3862943611198906,top100
TOB1,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.0161290322580647,1.0,0.0,0.3080645161290323,1.3862943611198906,top100
CCDC138,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.0161290322580647,1.0,0.0,0.3080645161290323,1.3862943611198906,top100
CBR4,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.0161290322580647,1.0,0.0,0.3080645161290323,1.3862943611198906,top100
NRIP1,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.0161290322580647,1.0,0.0,0.3080645161290323,1.3862943611198906,top100
MTMR14,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.0161290322580647,1.0,0.0,0.3080645161290323,1.3862943611198906,top100
USP37,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.0161290322580647,1.0,0.0,0.3080645161290323,1.3862943611198906,top100
GRINA,3,2,3.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.3862943611198906,top100
PAFAH1B1,3,2,3.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.3862943611198906,top100
MLF2,3,2,3.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.3862943611198906,top100
LTBR,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
KRT36,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
MARK2,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
KLF6,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
KIAA0513,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
MEPE,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
MED29,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
MEIOC,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
IQCB1,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
SLC17A7,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
SRPX,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
IRAK1BP1,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
STAT5B,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
SHOC2,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
SHBG,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
MTF2,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
STX8,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
STXBP2,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
IFITM3,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
SULT1C4,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
HSD3B7,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
HSD11B1,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
MYOG,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
HOXB3,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
ZFYVE21,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
HMBS,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
SYT12,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
LRFN4,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
ARSD,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
LLGL1,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
LMBRD1,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
LRRN3,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
SERPINB5,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
NDRG4,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
BRD2,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
BRCC3,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
BRD3,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
SERPINA7,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
NFIA,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
BZW2,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
GLB1L,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
GIPR,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
C1orf131,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
BTBD8,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
ZDHHC8,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
NIPA2,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
NME6,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
GPR143,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
OR4X2,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
TMEM209,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
FAM214A,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
C9orf135,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
TNFAIP6,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
TNFRSF10B,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
ZNF639,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
EXD3,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
ETV6,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
TPH1,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
EIF3J,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
FRA10AC1,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
FIGNL2,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
RWDD2A,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
OR2F2,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
TMEM176A,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
ADCY7,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
ADH5,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
PCED1B,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
ADRB3,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
EIF3M,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
TRIT1,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
RHCG,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
DNAJB14,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
CCDC73,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
WDR74,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
RC3H2,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
DGCR8,2,2,2.0,0.0,1.0,0.0048309178743961,0.0,0.0080645161290323,1.0,0.0,0.3040322580645161,1.0986122886681098,top100
